N;Tratamiento;Identificacion;Ganan_peso;ALB_i;ALB_f;TP_i;TP_f;GLOB_i;GLOB_f;A/G_i;A/G_f;TB_i;TB_f;AST_i;AST_f;ALT_i;ALT_f;AMY_i;AMY_f;CK_i;CK_f;Crea_i;Crea_f;BUN_i;BUN_f;BUN/CREA_i;BUN/CREA_f;GLU_i;GLU_f;TG_i;TG_f;Ca_i;Ca_f;PHOS_i;PHOS_f
1;Mazorca de cacao;Bovino 1;7.00;42.6;39.2;97.9;87.5;55.3;48.3;0.77;0.81;1.4;0.9;186;145;65;58;199;140;403;365;96.8;103.1;1.93;3.15;19.882;3.6;3.35;3.00;0.3;2.25;2.09;2.45;2.18;39.2
2;Mazorca de cacao;Bovino 2;5.00;32;32;70;70;38;40;0.84;0.8;8;8;75;75;40;40;24;24;90;90;96.8;96.8;4;3.5;4.13;3.62;4.5;4.5;0.28;0.28;2.5;2.5;2.4;2.4
3;Mazorca de cacao;Bovino 3;8.00;25.4;28.5;72.6;75.3;47.2;46.8;0.54;0.61;5;4.2;130;112;46;53;89;95;172;180;98;102.2;1.18;2.65;12.089;13;3.09;3.4;0.3;0.3;1.98;2.05;1.78;1.95
4;Mazorca de cacao;Bovino 4;7.00;35.2;36;80.5;80.8;45.3;44.8;0.78;0.8;0.8;0.7;120;115;40;42;60;72;190;180;85;90.5;3.1;3.3;18.2;17.9;4.5;4.6;0.3;0.3;2.35;2.4;2.3;2.35
5;Mazorca de cacao;Bovino 5;6.00;32.5;35.2;75;77.5;42.5;42;0.76;0.83;3.2;3.5;70;72;45;50;28;28.5;110;115;88;92;5;5.4;5.68;5.87;4.8;4.9;0.25;0.3;2.4;2.45;2.3;2.35
6;Mazorca de cacao;Bovino 6;8.00;33.5;34.5;72.5;75;39;38.2;0.86;0.91;4;4.5;80;85;50;55;27;30;95;100;90;92;4.8;5.2;5.33;5.65;4.2;4.35;0.28;0.3;2.3;2.45;2.1;2.15
7;Mazorca de cacao;Bovino 7;8.00;36.8;37.5;84.2;85;47.4;47.8;0.78;0.79;0.9;1;130;125;48;50;70;75;220;210;92.5;95;3.2;3.4;17.3;17.8;4.25;4.5;0.3;0.3;2.25;2.3;2.2;2.25
8;Mazorca de cacao;Bovino 8;7.00;40.1;41.5;83.2;80;43.1;44.8;0.93;0.88;2;2.1;145;160;55;60;134;145;325;350;120.5;125;3.1;2.8;6.27;5.5;4.28;4.1;0.21;0.25;2.25;2.2;2.05;2.15
9;Mazorca de cacao;Bovino 9;3.00;39;36;88;83;49;47;0.8;0.77;1.2;1.1;150;135;55;50;120;110;320;300;85;80;2.5;2.8;18.5;18.9;3.7;4;0.4;0.45;2.25;2.3;2.3;2.4
10;Mazorca de cacao;Bovino 10;6.00;33.5;34.5;74;75.5;40.5;41;0.83;0.84;0.5;1;85;110;32;35;55;60;115;120;100.2;105;4;4.2;20;20;5.1;5.25;0.3;0.3;2.4;2.45;2.4;2.45
11;Banano verde;Bovino 1;4.00;30.1;30.5;78.4;77;48.3;49;0.63;0.62;1;1;112;120;40;45;75;80;220;230;115;118;4.8;5;14.7;15;4.95;5;0.22;0.25;2.3;2.25;2.1;2.05
12;Banano verde;Bovino 2;0.00;31.5;34;79.2;82;47.7;49.5;0.66;0.65;1.2;0.8;158;168;39;43;91;95;250;290;110.5;116.5;2.75;3;16.5;17;4.12;4.35;0.3;0.4;2.25;2.37;1.95;2.15
13;Banano verde;Bovino 3;5.00;28.2;30.2;72.1;74.8;43.9;44.6;0.64;0.68;0.5;0.7;129;145;48;50;74;80;205;220;107.3;110.5;2.58;2.9;15.8;16;3.97;4.15;0.3;0.3;2.08;2.15;2.1;2.05
14;Banano verde;Bovino 4;6.00;27.5;29;74.5;73;43.1;41;0.64;0.68;0.4;0.5;135;145;46;50;80;85;210;220;120;125;3.1;3.2;14.5;14;4.2;4.15;0.28;0.35;2.15;2.25;2.05;2.1
15;Banano verde;Bovino 5;7.00;31.2;30;74;70;42.8;43;0.73;0.75;0.8;0.8;85;85;42;42;25;25;95;95;95;92;3;2.5;18;18;4.85;4.8;0.3;0.3;2.1;2.1;2.2;2.2
16;Banano verde;Bovino 6;0.00;33.7;34.5;78.4;79.8;44.7;45.1;0.75;0.77;1;1.2;120;132;55;60;82;85;180;190;85.2;88.5;3.48;3.6;20.5;20;5.23;5.35;0.3;0.3;2.05;2.15;2.17;2.2
17;Banano verde;Bovino 7;5.00;32;31.5;78.5;79;34.5;35;0.93;0.88;0.4;0.6;85;95;43;47;25;28;95;105;80;83;3;3.2;18.75;18.6;5.5;5.4;0.3;0.3;2.25;2.35;2;2.05
18;Banano verde;Bovino 8;2.00;26.5;26.5;74.9;74.9;48.5;48.5;0.55;0.55;0.6;0.6;173;173;47;47;87;87;178;178;91.6;91.6;1.66;1.66;18.09;18.09;2.81;2.81;0.3;0.3;1.99;1.99;1.83;1.83
19;Banano verde;Bovino 9;7.00;30.2;30.2;75.6;75.6;45.4;45.4;0.67;0.67;0.8;0.8;85;85;52;52;60;60;210;210;96.3;96.3;4.25;4.25;22.1;22.1;3.5;3.5;0.3;0.3;2.13;2.13;2;2
20;Banano verde;Bovino 10;0.00;32.1;30.2;77.5;75.6;35;45.4;0.92;0.67;0.5;0.8;72;85;42;52;28;60;115;210;95;96.3;3.3;4.25;21;22.1;5;3.5;0.3;0.3;2.25;2.13;2.25;2
