N;Tratamiento;Dosis;Identificacion;Sexo;Raza;Edad;Peso_se_0;Peso_se_1;Peso_se_2;Peso_se_3;Peso_se_4;Ganan_peso;Valor;Detalle;Biomarker;Tiempo;Ref;Unidad
21;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;466.00;468.00;470.00;471.50;473.00;7.00;42.6;H;ALB;inicial;25.0-36.0;g/L
22;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;308.00;309.50;311.00;312.00;313.00;5.00;32;NA;ALB;inicial;25.0-36.0;g/L
23;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;444.00;446.00;448.00;8.00;25.4;NA;ALB;inicial;25.0-36.0;g/L
24;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;493.00;495.00;497.50;499.00;500.00;7.00;35.2;NA;ALB;inicial;25.0-36.0;g/L
25;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;473.00;474.50;476.00;477.50;479.00;6.00;32.5;NA;ALB;inicial;25.0-36.0;g/L
26;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;432.00;434.00;436.00;438.00;440.00;8.00;33.5;NA;ALB;inicial;25.0-36.0;g/L
27;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;400.00;402.50;405.00;406.50;408.00;8.00;36.8;H;ALB;inicial;25.0-36.0;g/L
28;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.00;455.50;457.00;7.00;40.1;H;ALB;inicial;25.0-36.0;g/L
29;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;467.00;468.50;469.00;469.50;470.00;3.00;39;H;ALB;inicial;25.0-36.0;g/L
30;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;390.00;389.00;394.00;394.00;396.00;6.00;33.5;NA;ALB;inicial;25.0-36.0;g/L
31;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;460.00;462.00;464.00;469.00;464.00;4.00;30.1;NA;ALB;inicial;25.0-36.0;g/L
32;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;475.00;478.00;480.00;481.00;475.00;0.00;31.5;NA;ALB;inicial;25.0-36.0;g/L
33;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;495.00;497.00;498.00;500.00;500.00;5.00;28.2;NA;ALB;inicial;25.0-36.0;g/L
34;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;487.50;489.00;490.00;491.00;6.00;27.5;NA;ALB;inicial;25.0-36.0;g/L
35;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;445.00;448.00;447.00;7.00;31.2;NA;ALB;inicial;25.0-36.0;g/L
36;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;470.00;468.00;468.00;470.00;470.00;0.00;33.7;NA;ALB;inicial;25.0-36.0;g/L
37;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;486.50;488.50;489.50;490.00;5.00;32;NA;ALB;inicial;25.0-36.0;g/L
38;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;510.00;510.00;512.00;515.00;512.00;2.00;26.5;L;ALB;inicial;25.0-36.0;g/L
39;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.50;456.00;457.00;7.00;30.2;NA;ALB;inicial;25.0-36.0;g/L
40;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;430.00;432.00;432.00;432.00;430.00;0.00;32.1;NA;ALB;inicial;25.0-36.0;g/L
41;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;466.00;468.00;470.00;471.50;473.00;7.00;39.2;NA;ALB;final;25.0-36.0;g/L
42;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;308.00;309.50;311.00;312.00;313.00;5.00;32;NA;ALB;final;25.0-36.0;g/L
43;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;444.00;446.00;448.00;8.00;28.5;NA;ALB;final;25.0-36.0;g/L
44;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;493.00;495.00;497.50;499.00;500.00;7.00;36;NA;ALB;final;25.0-36.0;g/L
45;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;473.00;474.50;476.00;477.50;479.00;6.00;35.2;NA;ALB;final;25.0-36.0;g/L
46;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;432.00;434.00;436.00;438.00;440.00;8.00;34.5;NA;ALB;final;25.0-36.0;g/L
47;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;400.00;402.50;405.00;406.50;408.00;8.00;37.5;H;ALB;final;25.0-36.0;g/L
48;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.00;455.50;457.00;7.00;41.5;H;ALB;final;25.0-36.0;g/L
49;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;467.00;468.50;469.00;469.50;470.00;3.00;36;NA;ALB;final;25.0-36.0;g/L
50;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;390.00;389.00;394.00;394.00;396.00;6.00;34.5;NA;ALB;final;25.0-36.0;g/L
51;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;460.00;462.00;464.00;469.00;464.00;4.00;30.5;NA;ALB;final;25.0-36.0;g/L
52;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;475.00;478.00;480.00;481.00;475.00;0.00;34;NA;ALB;final;25.0-36.0;g/L
53;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;495.00;497.00;498.00;500.00;500.00;5.00;30.2;NA;ALB;final;25.0-36.0;g/L
54;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;487.50;489.00;490.00;491.00;6.00;29;NA;ALB;final;25.0-36.0;g/L
55;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;445.00;448.00;447.00;7.00;30;NA;ALB;final;25.0-36.0;g/L
56;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;470.00;468.00;468.00;470.00;470.00;0.00;34.5;NA;ALB;final;25.0-36.0;g/L
57;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;486.50;488.5;489.5;490.00;5.00;31.5;NA;ALB;final;25.0-36.0;g/L
58;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;510.00;510.00;512.00;515.00;512.00;2.00;26.5;L;ALB;final;25.0-36.0;g/L
59;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.5;456.00;457.00;7.00;30.2;NA;ALB;final;25.0-36.0;g/L
60;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;430.00;432.00;432.00;432.00;430.00;0.00;30.2;NA;ALB;final;25.0-36.0;g/L
61;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;466.00;468.00;470.00;471.5;473.00;7.00;97.9;H;TP;inicial;58.0-80.0;g/L
62;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;308.00;309.50;311.00;312.00;313.00;5.00;70;NA;TP;inicial;58.0-80.0;g/L
63;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;444.00;446.00;448.00;8.00;72.6;NA;TP;inicial;58.0-80.0;g/L
64;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;493.00;495.00;497.5;499.00;500.00;7.00;80.5;NA;TP;inicial;58.0-80.0;g/L
65;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;473.00;474.50;476.00;477.5;479.00;6.00;75;NA;TP;inicial;58.0-80.0;g/L
66;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;432.00;434.00;436.00;438.00;440.00;8.00;72.5;NA;TP;inicial;58.0-80.0;g/L
67;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;400.00;402.50;405.00;406.5;408.00;8.00;84.2;NA;TP;inicial;58.0-80.0;g/L
68;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.00;455.5;457.00;7.00;83.2;NA;TP;inicial;58.0-80.0;g/L
69;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;467.00;468.50;469.00;469.5;470.00;3.00;88;H;TP;inicial;58.0-80.0;g/L
70;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;390.00;389.00;394.00;394.00;396.00;6.00;74;NA;TP;inicial;58.0-80.0;g/L
71;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;460.00;462.00;464.00;469.00;464.00;4.00;78.4;NA;TP;inicial;58.0-80.0;g/L
72;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;475.00;478.00;480.00;481.00;475.00;0.00;79.2;NA;TP;inicial;58.0-80.0;g/L
73;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;495.00;497.00;498.00;500.00;500.00;5.00;72.1;NA;TP;inicial;58.0-80.0;g/L
74;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;487.50;489.00;490.00;491.00;6.00;74.5;NA;TP;inicial;58.0-80.0;g/L
75;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;445.00;448.00;447.00;7.00;74;NA;TP;inicial;58.0-80.0;g/L
76;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;470.00;468.00;468.00;470.00;470.00;0.00;78.4;NA;TP;inicial;58.0-80.0;g/L
77;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;486.50;488.50;489.50;490.00;5.00;78.5;NA;TP;inicial;58.0-80.0;g/L
78;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;510.00;510.00;512.00;515.00;512.00;2.00;74.9;NA;TP;inicial;58.0-80.0;g/L
79;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.50;456.00;457.00;7.00;75.6;NA;TP;inicial;58.0-80.0;g/L
80;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;430.00;432.00;432.00;432.00;430.00;0.00;77.5;NA;TP;inicial;58.0-80.0;g/L
81;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;466.00;468.00;470.00;471.50;473.00;7.00;87.5;NA;TP;final;58.0-80.0;g/L
82;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;308.00;309.5;311.00;312.00;313.00;5.00;70;NA;TP;final;58.0-80.0;g/L
83;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;444.00;446.00;448.00;8.00;75.3;NA;TP;final;58.0-80.0;g/L
84;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;493.00;495.00;497.5;499.00;500.00;7.00;80.8;NA;TP;final;58.0-80.0;g/L
85;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;473.00;474.5;476.00;477.50;479.00;6.00;77.5;NA;TP;final;58.0-80.0;g/L
86;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;432.00;434.00;436.00;438.00;440.00;8.00;75;NA;TP;final;58.0-80.0;g/L
87;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;400.00;402.5;405.00;406.50;408.00;8.00;85;NA;TP;final;58.0-80.0;g/L
88;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.00;455.50;457.00;7.00;80;NA;TP;final;58.0-80.0;g/L
89;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;467.00;468.5;469.00;469.50;470.00;3.00;83;H;TP;final;58.0-80.0;g/L
90;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;390.00;389.00;394.00;394.00;396.00;6.00;75.5;NA;TP;final;58.0-80.0;g/L
91;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;460.00;462.00;464.00;469.00;464.00;4.00;77;NA;TP;final;58.0-80.0;g/L
92;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;475.00;478.00;480.00;481.00;475.00;0.00;82;NA;TP;final;58.0-80.0;g/L
93;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;495.00;497.00;498.00;500.00;500.00;5.00;74.8;NA;TP;final;58.0-80.0;g/L
94;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 4;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;487.5;489.00;490.00;491.00;6.00;73;NA;TP;final;58.0-80.0;g/L
95;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 5;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;445.00;448.00;447.00;7.00;70;NA;TP;final;58.0-80.0;g/L
96;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 6;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;470.00;468.00;468.00;470.00;470.00;0.00;79.8;NA;TP;final;58.0-80.0;g/L
97;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 7;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;485.00;486.5;488.5;489.5;490.00;5.00;79;NA;TP;final;58.0-80.0;g/L
98;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 8;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;510.00;510.00;512.00;515.00;512.00;2.00;74.9;NA;TP;final;58.0-80.0;g/L
99;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 9;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;450.00;452.00;454.5;456.00;457.00;7.00;75.6;NA;TP;final;58.0-80.0;g/L
100;Banano verde;10 g MS/kg de peso vivo al dia;Bovino 10;Macho;Ganado Bos taurus x Bos indicus;2 años de edad;430.00;432.00;432.00;432.00;430.00;0.00;75.6;NA;TP;final;58.0-80.0;g/L
101;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 1;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;466.00;468.00;470.00;471.5;473.00;7.00;55.3;H;GLOB;inicial;27.0-38.0;g/L
102;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 2;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;308.00;309.5;311.00;312.00;313.00;5.00;38;NA;GLOB;inicial;27.0-38.0;g/L
103;Mazorca de cacao;10 g MS/kg de peso vivo al dia;Bovino 3;Hembra;Ganado Bos taurus x Bos indicus;2 años de edad;440.00;442.00;444.00;446.00;448.00;8.00;47.2;H;GLOB;inicial;27.0-38.0;g/L
